candidate_id,target_role,education_level,education_relevance,experience_years,experience_relevance,common_skill_coverage,skill_gap_count,project_count,project_quality_score,project_relevance_score,project_depth_score,project_diversity_score,github_activity_score,live_project_count,portfolio_completeness_score,portfolio_design_score,portfolio_content_score,portfolio_evidence_score,technical_evidence_score,soft_skill_evidence_score,github_available,deployment_available,role_fit_score,portfolio_score,job_ready,shortlisted,hired,successful_candidate,data_origin,split
CAND000021,AI Engineer,BE,84,2.3,68,76,2,4,71,90,71,49,0,4,88,63,72,89,64,30,0,1,77,79,1,0,0,0,original,validation
CAND000022,AI Engineer,BTech,70,5.3,85,100,1,3,67,100,80,51,42,0,84,61,49,79,100,78,1,0,91,69,1,1,1,1,original,train
CAND000023,AI Engineer,BE,71,3.0,89,75,0,2,80,72,47,75,0,2,58,83,33,50,69,40,0,1,78,55,0,0,0,0,original,validation
CAND000024,AI Engineer,MCA,75,0.4,100,77,2,7,59,81,43,58,45,0,82,52,42,40,100,76,1,0,86,56,1,1,1,0,original,test
CAND000025,AI Engineer,BTech,82,1.6,90,97,2,5,81,79,38,58,42,2,79,87,79,38,73,72,1,1,86,70,1,1,1,1,original,test
CAND000026,AI Engineer,MCA,61,2.7,63,52,5,4,22,88,22,50,74,0,72,57,80,70,94,40,1,0,68,70,0,0,0,0,original,train
CAND000027,AI Engineer,BE,32,0.6,79,68,6,1,45,74,15,11,58,0,60,42,56,42,88,54,1,0,67,51,0,0,0,0,original,validation
CAND000028,AI Engineer,BTech,35,0.5,54,81,3,4,48,70,29,66,54,0,100,57,60,73,65,80,1,0,63,75,0,0,0,0,original,train
CAND000029,AI Engineer,MBA,67,1.2,42,80,2,3,96,82,49,57,25,1,78,62,37,64,77,65,1,1,70,61,0,0,0,0,original,test
CAND000030,AI Engineer,MBA,96,0.9,69,89,2,1,60,58,41,33,80,1,73,18,93,55,89,23,1,1,81,62,0,0,0,0,original,test
CAND000031,AI Engineer,BE,47,1.9,84,100,1,1,76,72,47,45,100,0,71,79,83,93,85,73,1,0,80,81,1,1,0,0,original,train
CAND000032,AI Engineer,BE,59,4.2,81,100,0,4,84,44,73,18,62,0,95,68,69,80,81,66,1,0,78,79,1,1,1,0,original,test
CAND000033,AI Engineer,BTech,54,3.4,94,100,0,5,70,83,82,34,51,3,87,69,69,95,79,49,1,1,85,81,1,1,1,0,original,train
CAND000034,AI Engineer,BCA,28,2.4,79,58,3,1,59,54,53,52,44,1,52,55,42,97,75,49,1,1,61,61,0,0,0,0,original,validation
CAND000035,AI Engineer,BCA,73,4.6,74,72,2,5,83,81,61,67,96,0,76,47,59,97,79,22,1,0,76,71,0,0,0,0,original,train
CAND000036,AI Engineer,BTech,33,2.0,86,92,0,2,38,84,51,18,51,0,90,76,59,95,73,73,1,0,77,81,1,1,1,0,original,validation
CAND000037,AI Engineer,BE,94,2.8,60,100,1,4,64,91,60,38,52,0,60,65,47,81,100,41,1,0,88,63,1,0,0,0,original,train
CAND000038,AI Engineer,BE,84,5.1,92,100,0,5,79,81,36,65,66,1,100,48,77,48,83,45,1,1,90,71,1,1,0,0,original,train
CAND000039,AI Engineer,MSc,54,3.1,89,82,0,2,45,60,58,62,54,1,71,65,50,97,91,40,1,1,78,71,1,0,0,0,original,train
CAND000040,AI Engineer,BTech,17,0.3,61,84,2,6,48,83,45,85,55,0,100,43,84,99,100,67,1,0,69,84,1,0,0,0,original,train
CAND000041,AI Engineer,MBA,69,3.0,47,95,1,4,72,100,47,27,44,0,80,36,75,76,78,89,1,0,78,69,1,1,0,0,original,validation
CAND000042,AI Engineer,BTech,34,7.4,96,100,0,7,84,100,64,100,69,3,92,63,45,85,100,90,1,1,87,73,1,1,1,1,original,validation
CAND000043,AI Engineer,MCA,52,5.4,67,100,1,5,81,89,66,64,76,1,94,53,63,97,100,54,1,1,82,79,1,1,1,0,original,validation
CAND000044,AI Engineer,BE,83,0.7,87,70,5,6,88,66,46,100,0,2,81,76,64,74,70,79,0,1,75,74,1,0,0,0,original,validation
CAND000045,AI Engineer,BE,67,1.7,62,78,4,2,73,45,54,60,62,0,60,51,77,82,73,57,1,0,67,68,0,0,0,0,original,test
CAND000046,AI Engineer,MCA,74,0.9,46,100,1,0,53,100,49,60,67,0,52,85,44,60,100,87,1,0,83,59,1,0,0,0,original,test
CAND000047,AI Engineer,MCA,68,4.2,74,87,0,8,82,93,84,94,57,1,100,13,63,52,93,36,1,1,83,61,1,0,0,0,original,validation
CAND000048,AI Engineer,BCA,72,0.6,77,60,3,3,83,100,56,86,63,0,70,62,77,53,77,68,1,0,76,66,1,0,0,0,original,train
CAND000049,AI Engineer,MTech,15,3.4,82,47,4,4,58,62,77,55,100,0,78,50,59,91,60,60,1,0,55,71,0,0,0,0,original,train
CAND000050,AI Engineer,MBA,99,2.9,81,59,3,4,77,75,59,75,90,0,88,79,27,96,91,44,1,0,79,73,1,0,0,0,original,test
CAND000051,AI Engineer,BBA,63,0.1,41,61,9,0,62,66,34,47,52,0,69,29,0,82,66,54,1,0,57,47,0,0,0,0,original,train
CAND000052,AI Engineer,MSc,86,2.6,85,100,0,5,60,59,31,24,69,1,100,76,53,78,86,57,1,1,86,78,1,1,1,0,original,validation
CAND000053,AI Engineer,MBA,84,4.9,83,63,2,3,49,52,87,82,55,3,78,100,48,44,65,67,1,1,72,66,1,1,0,0,original,train
CAND000054,AI Engineer,BTech,32,1.2,83,73,4,5,86,93,85,36,72,5,100,39,99,100,84,76,1,1,72,88,1,1,0,0,original,train
CAND000055,AI Engineer,MTech,51,0.5,88,89,1,0,44,58,56,81,0,0,30,45,56,57,76,39,0,1,76,46,0,0,0,0,original,train
CAND000056,AI Engineer,BTech,79,4.6,92,58,5,4,80,81,59,67,93,0,77,33,54,100,68,44,1,0,75,68,1,1,1,0,original,train
CAND000057,AI Engineer,BE,55,2.3,44,100,1,4,75,83,53,60,0,0,48,62,69,44,74,32,0,0,73,55,0,0,0,0,original,validation
CAND000058,AI Engineer,MCA,53,4.8,69,70,2,2,93,86,88,61,0,2,50,48,69,71,93,81,0,1,73,60,1,0,0,0,original,train
CAND000059,AI Engineer,BBA,52,0.7,78,52,5,2,55,65,42,43,55,0,90,72,60,66,95,65,1,0,66,73,0,0,0,0,original,train
CAND000060,AI Engineer,BTech,77,1.6,65,73,2,5,73,85,46,90,93,0,77,62,55,98,100,76,1,0,78,74,1,0,0,0,original,test
CAND000061,AI Engineer,MSc,86,2.1,65,100,1,1,50,57,44,38,0,1,49,56,60,50,91,83,0,1,82,53,1,1,0,0,original,train
CAND000062,AI Engineer,MSc,39,1.8,25,100,0,5,53,59,65,46,48,0,76,31,55,48,78,70,1,0,64,55,0,0,0,0,original,train
CAND000063,AI Engineer,BTech,87,2.8,55,100,2,4,50,47,72,56,0,0,72,46,81,52,86,57,0,0,77,64,1,0,0,0,original,train
CAND000064,AI Engineer,BBA,57,7.9,56,93,0,2,62,56,78,48,55,2,75,53,45,89,81,91,1,1,72,67,1,0,0,0,original,test
CAND000065,AI Engineer,BSc,81,2.9,75,66,7,2,50,90,60,49,0,0,52,71,55,20,69,61,0,0,74,49,0,0,0,0,original,train
CAND000066,AI Engineer,MSc,60,0.6,66,100,2,9,100,87,59,53,40,7,100,37,45,59,70,88,1,1,79,63,1,0,0,0,original,test
CAND000067,AI Engineer,BSc,44,2.9,72,83,3,3,78,92,59,84,63,1,79,68,51,81,77,42,1,1,74,70,0,0,0,0,original,train
CAND000068,AI Engineer,BE,89,0.8,74,63,2,4,47,63,45,40,0,0,59,51,27,46,53,55,0,0,71,46,0,0,0,0,original,train
CAND000069,AI Engineer,BCA,29,2.4,65,62,3,4,29,69,58,37,44,4,100,37,84,63,92,100,1,1,63,74,1,0,0,0,original,train
CAND000070,AI Engineer,BSc,46,0.6,89,88,1,2,77,95,36,43,61,0,67,35,28,81,81,69,1,0,81,54,0,0,0,0,original,test
CAND000071,AI Engineer,MCA,65,0.2,42,52,6,5,65,66,34,55,0,0,75,67,64,86,54,47,0,0,55,73,0,0,0,0,original,test
CAND000072,AI Engineer,BE,59,0.4,66,26,6,4,72,54,37,30,68,4,87,21,35,68,74,45,1,1,54,56,0,0,0,0,original,test
CAND000073,AI Engineer,BTech,18,2.5,88,100,0,1,61,100,75,51,27,0,76,89,52,53,79,48,1,0,80,67,1,1,0,0,original,validation
CAND000074,AI Engineer,BTech,34,2.4,70,80,0,2,70,73,39,37,43,2,79,50,82,83,77,87,1,1,70,75,1,1,0,0,original,train
CAND000075,AI Engineer,BTech,89,1.5,57,78,3,4,50,88,77,35,57,0,98,71,79,67,98,18,1,0,80,80,1,1,0,0,original,validation
CAND000076,AI Engineer,BTech,48,3.1,86,100,0,4,92,100,51,65,55,4,89,39,71,74,100,19,1,1,88,71,1,0,0,0,original,train
CAND000077,AI Engineer,BE,50,0.6,83,100,2,3,58,89,58,64,51,0,69,47,82,72,100,74,1,0,85,69,1,1,0,0,original,test
CAND000078,AI Engineer,MSc,72,1.6,55,95,2,2,39,88,52,19,0,2,61,27,80,48,94,96,0,1,80,56,1,0,0,0,original,train
CAND000079,AI Engineer,BTech,96,0.9,77,53,3,0,40,71,58,74,5,0,95,63,61,74,100,7,1,0,77,75,0,0,0,0,original,validation
CAND000080,AI Engineer,BTech,80,2.8,93,69,5,3,51,85,55,70,84,1,87,86,70,75,64,44,1,1,78,80,1,1,0,0,original,test
CAND000081,AI Engineer,BTech,80,2.4,74,61,3,6,61,63,62,59,94,0,75,73,62,84,100,83,1,0,74,74,1,1,0,0,original,test
CAND000082,AI Engineer,BE,34,1.3,44,98,4,6,77,67,52,70,68,3,97,58,55,77,88,67,1,1,67,74,0,0,0,0,original,train
CAND000083,AI Engineer,MCA,79,2.1,59,89,2,5,98,100,40,78,100,3,55,64,58,100,100,69,1,1,83,69,1,1,0,0,original,train
CAND000084,AI Engineer,BE,77,3.8,100,73,1,5,86,100,54,75,100,4,67,27,50,87,56,70,1,1,83,60,1,1,0,0,original,test
CAND000085,AI Engineer,BE,46,1.4,54,80,2,5,45,92,46,53,33,1,100,76,37,35,73,86,1,1,70,63,0,0,0,0,original,train
CAND000086,AI Engineer,MCA,91,0.6,100,89,0,2,45,95,27,48,24,0,100,52,29,69,57,28,1,0,90,65,1,0,0,0,original,test
CAND000087,AI Engineer,MBA,3,2.7,84,100,1,1,20,67,58,55,20,1,80,49,56,68,91,57,1,1,73,65,0,0,0,0,original,validation
CAND000088,AI Engineer,BTech,47,0.2,53,51,0,0,46,76,41,44,46,0,92,44,31,59,81,73,1,0,62,59,0,0,0,0,original,train
CAND000089,AI Engineer,MTech,63,1.0,41,94,0,4,57,100,61,50,0,0,42,76,38,31,75,66,0,0,76,45,0,0,0,0,original,test
CAND000090,AI Engineer,MSc,36,0.9,62,46,5,3,50,61,42,53,0,3,60,27,58,56,20,26,0,1,49,52,0,0,0,0,original,train
CAND000091,AI Engineer,BE,90,2.1,64,100,0,7,88,70,70,58,31,2,82,51,55,83,100,69,1,1,86,69,1,1,1,0,original,train
CAND000092,AI Engineer,MSc,91,0.0,93,46,2,3,71,70,76,53,1,1,73,86,38,78,62,55,1,1,73,68,0,0,0,0,original,test
CAND000093,AI Engineer,PhD,82,1.3,72,65,5,2,56,97,47,56,44,0,57,39,64,65,80,60,1,0,77,57,0,0,0,0,original,train
CAND000094,AI Engineer,BSc,82,4.6,86,74,1,6,67,64,77,65,100,3,90,69,62,58,96,76,1,1,81,71,1,1,0,0,original,validation
CAND000095,AI Engineer,BSc,62,11.8,99,100,0,7,93,97,100,56,61,2,100,40,69,68,100,100,1,1,92,72,1,1,1,1,original,train
CAND000096,AI Engineer,BE,78,0.3,39,74,1,5,45,94,49,34,79,3,83,48,75,54,79,59,1,1,72,67,0,0,0,0,original,train
CAND000097,AI Engineer,BE,93,3.0,100,82,3,5,48,64,54,76,64,2,65,80,77,73,87,70,1,1,86,73,1,1,0,0,original,train
CAND000098,AI Engineer,MCA,69,3.5,81,95,5,3,69,65,78,51,51,0,67,70,89,62,77,45,1,0,79,72,1,0,0,0,original,test
CAND000099,AI Engineer,BCA,82,0.8,68,80,4,1,33,89,31,61,0,0,36,62,84,56,78,48,0,0,79,58,0,0,0,0,original,train
CAND000100,AI Engineer,BSc,31,1.1,61,60,1,3,89,42,38,64,51,2,64,51,56,100,91,57,1,1,59,68,0,0,0,0,original,train
CAND000101,AI Engineer,BCA,98,3.3,66,95,3,4,82,100,46,63,39,1,72,66,34,60,72,80,1,1,86,58,1,1,0,0,original,train
CAND000102,AI Engineer,BTech,69,1.6,83,72,2,3,64,100,53,44,0,2,75,51,42,54,36,57,0,1,75,57,0,0,0,0,original,train
CAND000103,AI Engineer,BE,78,1.3,59,82,1,2,36,65,56,79,41,0,92,31,52,79,48,45,1,0,71,67,0,0,0,0,original,train
CAND000104,AI Engineer,BTech,52,2.2,100,100,0,2,69,78,28,45,27,0,82,72,54,69,65,61,1,0,84,70,1,1,1,1,original,train
CAND000105,AI Engineer,BE,85,5.0,72,89,3,6,64,66,71,52,70,0,78,49,96,69,100,72,1,0,82,74,1,1,1,0,original,train
CAND000106,AI Engineer,BTech,59,4.4,100,58,2,4,73,71,48,36,48,2,61,63,2,62,85,59,1,1,75,47,0,0,0,0,original,train
CAND000107,AI Engineer,MSc,56,1.9,45,58,3,2,48,67,59,61,0,0,48,71,29,80,65,29,0,0,59,56,0,0,0,0,original,train
CAND000108,AI Engineer,MSc,64,4.8,88,100,0,5,48,73,65,51,0,0,84,66,43,54,99,23,0,0,87,63,1,0,0,0,original,train
CAND000109,AI Engineer,MTech,84,3.0,69,96,0,2,76,65,100,38,0,0,42,71,71,74,99,57,0,0,84,63,1,0,0,0,original,validation
CAND000110,AI Engineer,BBA,75,3.7,68,84,0,5,39,75,45,49,0,3,72,74,66,45,60,76,0,1,76,64,1,0,0,0,original,validation
CAND000111,AI Engineer,MTech,42,1.1,83,85,3,4,79,51,59,79,39,3,94,26,71,78,75,99,1,1,70,71,1,1,0,0,original,validation
CAND000112,AI Engineer,BE,68,2.1,78,67,0,4,64,78,21,100,21,3,90,51,54,49,73,58,1,1,75,63,0,0,0,0,original,train
CAND000113,AI Engineer,MSc,36,0.3,54,67,4,4,80,79,45,56,0,0,50,31,47,71,94,34,0,0,64,51,0,0,0,0,original,train
CAND000114,AI Engineer,MSc,66,4.2,77,82,2,4,46,56,41,58,52,3,76,38,71,80,72,43,1,1,73,68,0,0,0,0,original,train
CAND000115,AI Engineer,BCA,64,0.9,37,27,6,5,66,56,54,77,0,3,70,60,50,76,62,31,0,1,47,64,0,0,0,0,original,test
CAND000116,AI Engineer,MCA,96,0.6,70,44,2,4,61,100,31,69,71,3,90,73,46,76,86,63,1,1,76,72,1,0,0,0,original,test
CAND000117,AI Engineer,BCA,70,6.1,96,71,3,6,90,70,81,55,100,3,100,31,73,80,69,71,1,1,77,74,1,1,0,0,original,train
CAND000118,AI Engineer,BTech,94,1.5,88,90,3,5,63,74,36,49,0,4,66,65,90,52,53,60,0,1,83,68,1,1,0,0,original,train
CAND000119,AI Engineer,BTech,85,0.5,43,66,4,5,61,79,18,59,0,2,79,60,55,67,82,59,0,1,69,66,0,0,0,0,original,train
CAND000120,AI Engineer,BTech,93,3.3,48,61,4,5,90,64,88,37,63,1,79,65,88,100,85,84,1,1,68,84,1,0,0,0,original,train
CAND000121,AI Engineer,MSc,95,3.7,93,100,0,7,82,73,82,93,53,1,100,27,57,80,99,47,1,1,93,70,1,1,1,0,original,validation
CAND000122,AI Engineer,MBA,81,2.6,73,100,1,5,78,93,39,43,59,0,94,69,68,73,79,74,1,0,87,77,1,1,1,1,original,validation
CAND000123,AI Engineer,MSc,93,4.0,71,100,0,6,88,78,92,61,86,6,72,54,58,100,100,62,1,1,89,72,1,1,1,1,original,train
CAND000124,AI Engineer,BE,49,2.3,53,84,2,6,77,68,100,55,62,0,91,41,47,100,96,64,1,0,70,72,0,0,0,0,original,validation
CAND000125,AI Engineer,BE,41,1.8,92,93,0,6,77,75,33,82,84,0,97,70,54,59,53,46,1,0,76,71,1,0,0,0,original,test
CAND000126,AI Engineer,BTech,46,1.4,77,85,2,2,60,68,58,52,0,0,58,68,59,73,88,59,0,0,74,64,0,0,0,0,original,train
CAND000127,AI Engineer,BTech,87,3.2,45,100,2,2,54,80,67,24,0,0,39,38,49,61,89,75,0,0,80,47,0,0,0,0,original,train
CAND000128,AI Engineer,BTech,50,1.1,86,82,2,3,34,85,50,56,0,2,84,58,13,55,65,77,0,1,76,54,0,0,0,0,original,test
CAND000129,AI Engineer,BE,74,4.9,76,100,0,2,54,79,65,29,0,0,72,62,69,53,63,59,0,0,82,64,1,0,0,0,original,train
CAND000130,AI Engineer,BTech,94,6.2,66,100,0,1,41,96,48,37,76,1,59,85,49,84,89,63,1,1,90,68,1,1,0,0,original,train
CAND000131,AI Engineer,MTech,73,0.7,66,88,3,1,6,90,35,40,0,0,59,82,38,73,68,65,0,0,78,62,1,1,0,0,original,train
CAND000132,AI Engineer,MCA,11,1.1,41,84,2,1,73,58,56,62,84,0,77,43,47,57,96,41,1,0,59,58,0,0,0,0,original,train
CAND000133,AI Engineer,BBA,73,1.2,67,72,1,4,63,86,74,55,0,4,70,61,33,57,80,47,0,1,76,56,0,0,0,0,original,test
CAND000134,AI Engineer,BE,74,1.7,77,77,4,1,56,90,66,39,0,1,51,53,77,37,45,40,0,1,74,54,0,0,0,0,original,train
CAND000135,AI Engineer,MTech,24,1.9,52,32,6,6,100,80,45,80,35,2,100,73,64,43,62,56,1,1,48,71,0,0,0,0,original,validation
CAND000136,AI Engineer,BBA,53,2.4,62,100,0,1,64,100,40,75,0,0,33,21,51,49,50,41,0,0,77,39,0,0,0,0,original,train
CAND000137,AI Engineer,MSc,25,5.0,74,100,2,4,46,95,40,88,100,0,93,86,66,69,73,46,1,0,76,79,1,0,0,0,original,train
CAND000138,AI Engineer,MCA,85,2.3,79,100,0,2,65,80,30,93,69,1,100,44,66,67,79,76,1,1,87,72,1,1,0,0,original,validation
CAND000139,AI Engineer,BTech,44,1.2,45,97,2,3,77,82,53,66,0,0,30,51,56,52,93,56,0,0,73,46,0,0,0,0,original,validation
CAND000140,AI Engineer,MTech,77,0.6,76,78,1,5,63,94,20,69,60,4,85,78,68,75,95,54,1,1,83,77,1,1,0,0,original,train
CAND000141,AI Engineer,BTech,36,1.7,76,82,2,3,71,60,70,67,16,0,79,61,65,55,90,55,1,0,71,66,0,0,0,0,original,test
CAND000142,AI Engineer,BE,45,6.6,77,100,0,2,47,100,86,55,25,1,68,76,31,58,78,49,1,1,82,58,1,1,0,0,original,test
CAND000143,AI Engineer,BSc,75,5.0,98,72,1,3,85,64,66,58,0,0,54,56,29,60,59,51,0,0,77,50,0,0,0,0,original,train
CAND000144,AI Engineer,BTech,85,0.0,63,95,0,4,76,78,60,59,46,3,82,70,76,72,68,30,1,1,81,76,1,0,0,0,original,validation
CAND000145,AI Engineer,BE,98,1.1,67,60,5,3,55,60,82,43,0,2,67,81,47,13,94,76,0,1,73,51,0,0,0,0,original,validation
CAND000146,AI Engineer,MBA,80,0.2,62,82,1,0,66,75,30,70,0,0,64,75,64,39,91,76,0,0,78,60,1,0,0,0,original,test
CAND000147,AI Engineer,MTech,94,1.1,84,100,0,1,33,100,42,66,0,0,46,59,48,78,66,60,0,0,91,57,1,0,0,0,original,train
CAND000148,AI Engineer,BTech,74,0.6,34,97,1,2,64,100,76,52,0,2,76,85,32,30,84,41,0,1,78,55,0,0,0,0,original,train
CAND000149,AI Engineer,BE,61,1.8,57,94,1,5,54,64,67,71,65,0,70,50,62,80,80,54,1,0,74,66,0,0,0,0,original,train
CAND000150,AI Engineer,BTech,46,0.8,59,63,2,3,46,63,42,70,88,1,82,50,35,76,85,48,1,1,64,62,0,0,0,0,original,test
CAND000151,AI Engineer,BTech,85,1.5,80,68,2,2,57,100,18,34,0,1,89,99,60,41,57,94,0,1,79,72,1,1,0,0,original,train
CAND000152,AI Engineer,PhD,79,0.6,67,80,2,6,76,91,71,70,89,3,100,93,66,100,93,82,1,1,81,90,1,1,0,0,original,train
CAND000153,AI Engineer,MBA,77,2.3,63,85,0,5,100,90,74,100,64,0,82,44,58,86,81,73,1,0,80,69,1,1,0,0,original,validation
CAND000154,AI Engineer,BE,79,3.2,59,92,2,4,67,100,57,54,60,3,74,43,62,70,90,72,1,1,83,64,1,1,0,0,original,train
CAND000155,AI Engineer,MBA,69,0.9,60,88,1,1,55,80,53,41,0,0,52,28,85,47,100,40,0,0,79,54,0,0,0,0,original,train
CAND000156,AI Engineer,MSc,32,4.3,67,98,3,7,90,53,100,29,100,4,75,55,57,86,100,73,1,1,72,69,1,1,0,0,original,test
CAND000157,AI Engineer,BE,46,2.2,54,78,4,4,53,82,46,55,78,0,85,41,45,62,73,60,1,0,67,60,0,0,0,0,original,test
CAND000158,AI Engineer,MBA,50,0.7,67,100,1,0,36,100,74,47,0,0,73,56,44,55,90,53,0,0,82,58,1,1,0,0,original,test
CAND000159,AI Engineer,MBA,40,1.6,75,23,5,2,67,68,25,99,0,0,78,18,46,35,20,64,0,0,48,47,0,0,0,0,original,train
CAND000160,AI Engineer,BTech,70,1.0,44,98,1,1,74,82,42,57,0,1,45,34,67,64,65,72,0,1,74,53,0,0,0,0,original,train
CAND000161,AI Engineer,MBA,74,3.7,56,84,1,2,59,98,39,65,48,1,63,56,39,60,95,63,1,1,80,55,1,1,0,0,original,train
CAND000162,AI Engineer,MTech,87,0.7,51,55,4,5,70,74,76,44,47,0,77,94,61,76,83,84,1,0,68,76,1,0,0,0,original,test
CAND000163,AI Engineer,BSc,80,0.7,67,95,4,2,63,72,52,72,0,0,60,43,35,54,78,66,0,0,79,49,0,0,0,0,original,validation
CAND000164,AI Engineer,MCA,62,1.2,69,62,4,3,49,76,68,72,35,3,98,71,37,68,97,18,1,1,71,70,0,0,0,0,original,train
CAND000165,AI Engineer,BE,81,0.6,49,61,3,4,74,90,49,36,47,0,96,88,84,88,63,38,1,0,68,89,1,0,0,0,original,test
CAND000166,AI Engineer,MCA,84,1.7,77,63,3,2,46,78,51,40,0,1,81,71,31,75,38,52,0,1,71,65,0,0,0,0,original,validation
CAND000167,AI Engineer,BTech,61,0.9,54,46,5,4,73,100,48,28,49,0,79,54,48,55,75,46,1,0,64,60,0,0,0,0,original,train
CAND000168,AI Engineer,BSc,59,2.3,70,74,4,3,63,85,53,47,0,0,65,54,40,42,82,63,0,0,73,51,0,0,0,0,synthetic,train
CAND000169,AI Engineer,BSc,63,0.9,49,96,3,2,57,68,54,65,32,1,70,37,35,77,87,38,1,1,73,56,0,0,0,0,synthetic,train
CAND000170,AI Engineer,BTech,62,2.0,78,97,2,3,79,86,51,68,28,2,75,40,55,65,90,40,1,1,83,60,1,0,0,0,synthetic,train
CAND000171,AI Engineer,BSc,48,1.1,54,76,1,2,83,60,40,62,31,2,55,44,62,85,80,64,1,1,66,62,0,0,0,0,synthetic,train
CAND000172,AI Engineer,MSc,61,2.1,46,100,0,5,52,73,78,34,62,0,88,34,50,59,81,76,1,0,75,60,0,0,0,0,synthetic,train
CAND000173,AI Engineer,MBA,61,2.7,88,49,3,4,77,85,40,86,0,0,72,25,46,62,39,68,0,0,67,54,0,0,0,0,synthetic,train
CAND000174,AI Engineer,BTech,97,3.6,67,80,3,2,49,78,65,39,37,2,63,84,48,47,92,70,1,1,82,59,1,0,0,0,synthetic,train
CAND000175,AI Engineer,MCA,82,1.3,85,85,2,6,61,85,50,49,47,0,74,56,43,54,100,63,1,0,87,58,1,1,1,0,synthetic,train
CAND000176,AI Engineer,BE,91,3.0,87,80,2,3,51,76,49,62,60,1,63,70,66,77,91,58,1,1,85,69,1,1,0,0,synthetic,train
CAND000177,AI Engineer,BE,64,0.8,58,87,1,5,59,86,54,56,37,2,93,72,54,51,70,61,1,1,75,69,1,0,0,0,synthetic,train
CAND000178,AI Engineer,BTech,52,0.4,44,92,1,4,58,93,64,64,22,1,85,68,54,57,90,51,1,1,74,67,0,0,0,0,synthetic,train
CAND000179,AI Engineer,BE,47,1.2,60,66,3,4,51,62,53,60,27,0,64,37,59,66,45,37,1,0,59,58,0,0,0,0,synthetic,train
CAND000180,AI Engineer,BTech,53,1.4,88,83,2,4,72,96,70,52,39,3,80,52,65,83,78,73,1,1,80,71,1,0,0,0,synthetic,train
