target_role,education_level,education_relevance,experience_years,experience_relevance,common_skill_coverage,skill_gap_count,project_count,project_quality_score,project_relevance_score,project_depth_score,project_diversity_score,github_activity_score,live_project_count,portfolio_completeness_score,portfolio_design_score,portfolio_content_score,portfolio_evidence_score,technical_evidence_score,soft_skill_evidence_score,github_available,deployment_available
AI Engineer,BTech,70,5.3,85,100,1,3,67,100,80,51,42,0,84,61,49,79,100,78,,
AI Engineer,BE,71,3.0,89,75,0,2,80,72,47,75,0,2,58,83,33,50,69,40,,
AI Engineer,MCA,75,0.4,100,77,2,7,59,81,43,58,45,0,82,52,42,40,100,76,,
AI Engineer,BTech,82,1.6,90,97,2,5,81,79,38,58,42,2,79,87,79,38,73,72,,
AI Engineer,MCA,61,2.7,63,52,5,4,22,88,22,50,74,0,72,57,80,70,94,40,,
AI Engineer,BE,32,0.6,79,68,6,1,45,74,15,11,58,0,60,42,56,42,88,54,,
AI Engineer,BTech,35,0.5,54,81,3,4,48,70,29,66,54,0,100,57,60,73,65,80,,
AI Engineer,MBA,67,1.2,42,80,2,3,96,82,49,57,25,1,78,62,37,64,77,65,,
AI Engineer,MBA,96,0.9,69,89,2,1,60,58,41,33,80,1,73,18,93,55,89,23,,
AI Engineer,BE,47,1.9,84,100,1,1,76,72,47,45,100,0,71,79,83,93,85,73,,
AI Engineer,BE,59,4.2,81,100,0,4,84,44,73,18,62,0,95,68,69,80,81,66,,
AI Engineer,BTech,54,3.4,94,100,0,5,70,83,82,34,51,3,87,69,69,95,79,49,,
AI Engineer,BCA,28,2.4,79,58,3,1,59,54,53,52,44,1,52,55,42,97,75,49,,
AI Engineer,BCA,73,4.6,74,72,2,5,83,81,61,67,96,0,76,47,59,97,79,22,,
AI Engineer,BTech,33,2.0,86,92,0,2,38,84,51,18,51,0,90,76,59,95,73,73,,
AI Engineer,BE,94,2.8,60,100,1,4,64,91,60,38,52,0,60,65,47,81,100,41,,
AI Engineer,BE,84,5.1,92,100,0,5,79,81,36,65,66,1,100,48,77,48,83,45,,
AI Engineer,MSc,54,3.1,89,82,0,2,45,60,58,62,54,1,71,65,50,97,91,40,,
AI Engineer,BTech,17,0.3,61,84,2,6,48,83,45,85,55,0,100,43,84,99,100,67,,
AI Engineer,MBA,69,3.0,47,95,1,4,72,100,47,27,44,0,80,36,75,76,78,89,,
AI Engineer,BTech,34,7.4,96,100,0,7,84,100,64,100,69,3,92,63,45,85,100,90,,
AI Engineer,MCA,52,5.4,67,100,1,5,81,89,66,64,76,1,94,53,63,97,100,54,,
AI Engineer,BE,83,0.7,87,70,5,6,88,66,46,100,0,2,81,76,64,74,70,79,,
AI Engineer,BE,67,1.7,62,78,4,2,73,45,54,60,62,0,60,51,77,82,73,57,,
AI Engineer,MCA,74,0.9,46,100,1,0,53,100,49,60,67,0,52,85,44,60,100,87,,
AI Engineer,MCA,68,4.2,74,87,0,8,82,93,84,94,57,1,100,13,63,52,93,36,,
AI Engineer,BCA,72,0.6,77,60,3,3,83,100,56,86,63,0,70,62,77,53,77,68,,
AI Engineer,MTech,15,3.4,82,47,4,4,58,62,77,55,100,0,78,50,59,91,60,60,,
AI Engineer,MBA,99,2.9,81,59,3,4,77,75,59,75,90,0,88,79,27,96,91,44,,
AI Engineer,BBA,63,0.1,41,61,9,0,62,66,34,47,52,0,69,29,0,82,66,54,,
AI Engineer,MSc,86,2.6,85,100,0,5,60,59,31,24,69,1,100,76,53,78,86,57,,
AI Engineer,MBA,84,4.9,83,63,2,3,49,52,87,82,55,3,78,100,48,44,65,67,,
AI Engineer,BTech,32,1.2,83,73,4,5,86,93,85,36,72,5,100,39,99,100,84,76,,
AI Engineer,MTech,51,0.5,88,89,1,0,44,58,56,81,0,0,30,45,56,57,76,39,,
AI Engineer,BTech,79,4.6,92,58,5,4,80,81,59,67,93,0,77,33,54,100,68,44,,
AI Engineer,BE,55,2.3,44,100,1,4,75,83,53,60,0,0,48,62,69,44,74,32,,
AI Engineer,MCA,53,4.8,69,70,2,2,93,86,88,61,0,2,50,48,69,71,93,81,,
AI Engineer,BBA,52,0.7,78,52,5,2,55,65,42,43,55,0,90,72,60,66,95,65,,
AI Engineer,BTech,77,1.6,65,73,2,5,73,85,46,90,93,0,77,62,55,98,100,76,,
AI Engineer,MSc,86,2.1,65,100,1,1,50,57,44,38,0,1,49,56,60,50,91,83,,
AI Engineer,MSc,39,1.8,25,100,0,5,53,59,65,46,48,0,76,31,55,48,78,70,,
AI Engineer,BTech,87,2.8,55,100,2,4,50,47,72,56,0,0,72,46,81,52,86,57,,
AI Engineer,BBA,57,7.9,56,93,0,2,62,56,78,48,55,2,75,53,45,89,81,91,,
AI Engineer,BSc,81,2.9,75,66,7,2,50,90,60,49,0,0,52,71,55,20,69,61,,
AI Engineer,MSc,60,0.6,66,100,2,9,100,87,59,53,40,7,100,37,45,59,70,88,,
AI Engineer,BSc,44,2.9,72,83,3,3,78,92,59,84,63,1,79,68,51,81,77,42,,
AI Engineer,BE,89,0.8,74,63,2,4,47,63,45,40,0,0,59,51,27,46,53,55,,
AI Engineer,BCA,29,2.4,65,62,3,4,29,69,58,37,44,4,100,37,84,63,92,100,,
AI Engineer,BSc,46,0.6,89,88,1,2,77,95,36,43,61,0,67,35,28,81,81,69,,
AI Engineer,MCA,65,0.2,42,52,6,5,65,66,34,55,0,0,75,67,64,86,54,47,,
AI Engineer,BE,59,0.4,66,26,6,4,72,54,37,30,68,4,87,21,35,68,74,45,,
AI Engineer,BTech,18,2.5,88,100,0,1,61,100,75,51,27,0,76,89,52,53,79,48,,
AI Engineer,BTech,34,2.4,70,80,0,2,70,73,39,37,43,2,79,50,82,83,77,87,,
AI Engineer,BTech,89,1.5,57,78,3,4,50,88,77,35,57,0,98,71,79,67,98,18,,
AI Engineer,BTech,48,3.1,86,100,0,4,92,100,51,65,55,4,89,39,71,74,100,19,,
AI Engineer,BE,50,0.6,83,100,2,3,58,89,58,64,51,0,69,47,82,72,100,74,,
AI Engineer,MSc,72,1.6,55,95,2,2,39,88,52,19,0,2,61,27,80,48,94,96,,
AI Engineer,BTech,96,0.9,77,53,3,0,40,71,58,74,5,0,95,63,61,74,100,7,,
AI Engineer,BTech,80,2.8,93,69,5,3,51,85,55,70,84,1,87,86,70,75,64,44,,
AI Engineer,BTech,80,2.4,74,61,3,6,61,63,62,59,94,0,75,73,62,84,100,83,,
AI Engineer,BE,34,1.3,44,98,4,6,77,67,52,70,68,3,97,58,55,77,88,67,,
AI Engineer,MCA,79,2.1,59,89,2,5,98,100,40,78,100,3,55,64,58,100,100,69,,
AI Engineer,BE,77,3.8,100,73,1,5,86,100,54,75,100,4,67,27,50,87,56,70,,
AI Engineer,BE,46,1.4,54,80,2,5,45,92,46,53,33,1,100,76,37,35,73,86,,
AI Engineer,MCA,91,0.6,100,89,0,2,45,95,27,48,24,0,100,52,29,69,57,28,,
AI Engineer,MBA,3,2.7,84,100,1,1,20,67,58,55,20,1,80,49,56,68,91,57,,
AI Engineer,BTech,47,0.2,53,51,0,0,46,76,41,44,46,0,92,44,31,59,81,73,,
AI Engineer,MTech,63,1.0,41,94,0,4,57,100,61,50,0,0,42,76,38,31,75,66,,
AI Engineer,MSc,36,0.9,62,46,5,3,50,61,42,53,0,3,60,27,58,56,20,26,,
AI Engineer,BE,90,2.1,64,100,0,7,88,70,70,58,31,2,82,51,55,83,100,69,,
AI Engineer,MSc,91,0.0,93,46,2,3,71,70,76,53,1,1,73,86,38,78,62,55,,
AI Engineer,PhD,82,1.3,72,65,5,2,56,97,47,56,44,0,57,39,64,65,80,60,,
AI Engineer,BSc,82,4.6,86,74,1,6,67,64,77,65,100,3,90,69,62,58,96,76,,
AI Engineer,BSc,62,11.8,99,100,0,7,93,97,100,56,61,2,100,40,69,68,100,100,,
AI Engineer,BE,78,0.3,39,74,1,5,45,94,49,34,79,3,83,48,75,54,79,59,,
AI Engineer,BE,93,3.0,100,82,3,5,48,64,54,76,64,2,65,80,77,73,87,70,,
AI Engineer,MCA,69,3.5,81,95,5,3,69,65,78,51,51,0,67,70,89,62,77,45,,
AI Engineer,BCA,82,0.8,68,80,4,1,33,89,31,61,0,0,36,62,84,56,78,48,,
AI Engineer,BSc,31,1.1,61,60,1,3,89,42,38,64,51,2,64,51,56,100,91,57,,
AI Engineer,BCA,98,3.3,66,95,3,4,82,100,46,63,39,1,72,66,34,60,72,80,,
AI Engineer,BTech,69,1.6,83,72,2,3,64,100,53,44,0,2,75,51,42,54,36,57,,
AI Engineer,BE,78,1.3,59,82,1,2,36,65,56,79,41,0,92,31,52,79,48,45,,
AI Engineer,BTech,52,2.2,100,100,0,2,69,78,28,45,27,0,82,72,54,69,65,61,,
AI Engineer,BE,85,5.0,72,89,3,6,64,66,71,52,70,0,78,49,96,69,100,72,,
AI Engineer,BTech,59,4.4,100,58,2,4,73,71,48,36,48,2,61,63,2,62,85,59,,
AI Engineer,MSc,56,1.9,45,58,3,2,48,67,59,61,0,0,48,71,29,80,65,29,,
AI Engineer,MSc,64,4.8,88,100,0,5,48,73,65,51,0,0,84,66,43,54,99,23,,
AI Engineer,MTech,84,3.0,69,96,0,2,76,65,100,38,0,0,42,71,71,74,99,57,,
AI Engineer,BBA,75,3.7,68,84,0,5,39,75,45,49,0,3,72,74,66,45,60,76,,
AI Engineer,MTech,42,1.1,83,85,3,4,79,51,59,79,39,3,94,26,71,78,75,99,,
AI Engineer,BE,68,2.1,78,67,0,4,64,78,21,100,21,3,90,51,54,49,73,58,,
AI Engineer,MSc,36,0.3,54,67,4,4,80,79,45,56,0,0,50,31,47,71,94,34,,
AI Engineer,MSc,66,4.2,77,82,2,4,46,56,41,58,52,3,76,38,71,80,72,43,,
AI Engineer,BCA,64,0.9,37,27,6,5,66,56,54,77,0,3,70,60,50,76,62,31,,
AI Engineer,MCA,96,0.6,70,44,2,4,61,100,31,69,71,3,90,73,46,76,86,63,,
AI Engineer,BCA,70,6.1,96,71,3,6,90,70,81,55,100,3,100,31,73,80,69,71,,
AI Engineer,BTech,94,1.5,88,90,3,5,63,74,36,49,0,4,66,65,90,52,53,60,,
AI Engineer,BTech,85,0.5,43,66,4,5,61,79,18,59,0,2,79,60,55,67,82,59,,
AI Engineer,BTech,93,3.3,48,61,4,5,90,64,88,37,63,1,79,65,88,100,85,84,,
AI Engineer,MSc,95,3.7,93,100,0,7,82,73,82,93,53,1,100,27,57,80,99,47,,
AI Engineer,MBA,81,2.6,73,100,1,5,78,93,39,43,59,0,94,69,68,73,79,74,,
AI Engineer,MSc,93,4.0,71,100,0,6,88,78,92,61,86,6,72,54,58,100,100,62,,
AI Engineer,BE,49,2.3,53,84,2,6,77,68,100,55,62,0,91,41,47,100,96,64,,
AI Engineer,BE,41,1.8,92,93,0,6,77,75,33,82,84,0,97,70,54,59,53,46,,
AI Engineer,BTech,46,1.4,77,85,2,2,60,68,58,52,0,0,58,68,59,73,88,59,,
AI Engineer,BTech,87,3.2,45,100,2,2,54,80,67,24,0,0,39,38,49,61,89,75,,
AI Engineer,BTech,50,1.1,86,82,2,3,34,85,50,56,0,2,84,58,13,55,65,77,,
AI Engineer,BE,74,4.9,76,100,0,2,54,79,65,29,0,0,72,62,69,53,63,59,,
AI Engineer,BTech,94,6.2,66,100,0,1,41,96,48,37,76,1,59,85,49,84,89,63,,
AI Engineer,MTech,73,0.7,66,88,3,1,6,90,35,40,0,0,59,82,38,73,68,65,,
AI Engineer,MCA,11,1.1,41,84,2,1,73,58,56,62,84,0,77,43,47,57,96,41,,
AI Engineer,BBA,73,1.2,67,72,1,4,63,86,74,55,0,4,70,61,33,57,80,47,,
AI Engineer,BE,74,1.7,77,77,4,1,56,90,66,39,0,1,51,53,77,37,45,40,,
AI Engineer,MTech,24,1.9,52,32,6,6,100,80,45,80,35,2,100,73,64,43,62,56,,
AI Engineer,BBA,53,2.4,62,100,0,1,64,100,40,75,0,0,33,21,51,49,50,41,,
AI Engineer,MSc,25,5.0,74,100,2,4,46,95,40,88,100,0,93,86,66,69,73,46,,
AI Engineer,MCA,85,2.3,79,100,0,2,65,80,30,93,69,1,100,44,66,67,79,76,,
AI Engineer,BTech,44,1.2,45,97,2,3,77,82,53,66,0,0,30,51,56,52,93,56,,
AI Engineer,MTech,77,0.6,76,78,1,5,63,94,20,69,60,4,85,78,68,75,95,54,,
AI Engineer,BTech,36,1.7,76,82,2,3,71,60,70,67,16,0,79,61,65,55,90,55,,
AI Engineer,BE,45,6.6,77,100,0,2,47,100,86,55,25,1,68,76,31,58,78,49,,
AI Engineer,BSc,75,5.0,98,72,1,3,85,64,66,58,0,0,54,56,29,60,59,51,,
AI Engineer,BTech,85,0.0,63,95,0,4,76,78,60,59,46,3,82,70,76,72,68,30,,
AI Engineer,BE,98,1.1,67,60,5,3,55,60,82,43,0,2,67,81,47,13,94,76,,
AI Engineer,MBA,80,0.2,62,82,1,0,66,75,30,70,0,0,64,75,64,39,91,76,,
AI Engineer,MTech,94,1.1,84,100,0,1,33,100,42,66,0,0,46,59,48,78,66,60,,
AI Engineer,BTech,74,0.6,34,97,1,2,64,100,76,52,0,2,76,85,32,30,84,41,,
AI Engineer,BE,61,1.8,57,94,1,5,54,64,67,71,65,0,70,50,62,80,80,54,,
AI Engineer,BTech,46,0.8,59,63,2,3,46,63,42,70,88,1,82,50,35,76,85,48,,
AI Engineer,BTech,85,1.5,80,68,2,2,57,100,18,34,0,1,89,99,60,41,57,94,,
AI Engineer,PhD,79,0.6,67,80,2,6,76,91,71,70,89,3,100,93,66,100,93,82,,
AI Engineer,MBA,77,2.3,63,85,0,5,100,90,74,100,64,0,82,44,58,86,81,73,,
AI Engineer,BE,79,3.2,59,92,2,4,67,100,57,54,60,3,74,43,62,70,90,72,,
AI Engineer,MBA,69,0.9,60,88,1,1,55,80,53,41,0,0,52,28,85,47,100,40,,
AI Engineer,MSc,32,4.3,67,98,3,7,90,53,100,29,100,4,75,55,57,86,100,73,,
AI Engineer,BE,46,2.2,54,78,4,4,53,82,46,55,78,0,85,41,45,62,73,60,,
AI Engineer,MBA,50,0.7,67,100,1,0,36,100,74,47,0,0,73,56,44,55,90,53,,
AI Engineer,MBA,40,1.6,75,23,5,2,67,68,25,99,0,0,78,18,46,35,20,64,,
AI Engineer,BTech,70,1.0,44,98,1,1,74,82,42,57,0,1,45,34,67,64,65,72,,
AI Engineer,MBA,74,3.7,56,84,1,2,59,98,39,65,48,1,63,56,39,60,95,63,,
AI Engineer,MTech,87,0.7,51,55,4,5,70,74,76,44,47,0,77,94,61,76,83,84,,
AI Engineer,BSc,80,0.7,67,95,4,2,63,72,52,72,0,0,60,43,35,54,78,66,,
AI Engineer,MCA,62,1.2,69,62,4,3,49,76,68,72,35,3,98,71,37,68,97,18,,
AI Engineer,BE,81,0.6,49,61,3,4,74,90,49,36,47,0,96,88,84,88,63,38,,
AI Engineer,MCA,84,1.7,77,63,3,2,46,78,51,40,0,1,81,71,31,75,38,52,,
AI Engineer,BTech,61,0.9,54,46,5,4,73,100,48,28,49,0,79,54,48,55,75,46,,
AI Engineer,BSc,59,2.3,70,74,4,3,63,85,53,47,0,0,65,54,40,42,82,63,,
AI Engineer,BSc,63,0.9,49,96,3,2,57,68,54,65,32,1,70,37,35,77,87,38,,
AI Engineer,BTech,62,2.0,78,97,2,3,79,86,51,68,28,2,75,40,55,65,90,40,,
AI Engineer,BSc,48,1.1,54,76,1,2,83,60,40,62,31,2,55,44,62,85,80,64,,
AI Engineer,MSc,61,2.1,46,100,0,5,52,73,78,34,62,0,88,34,50,59,81,76,,
AI Engineer,MBA,61,2.7,88,49,3,4,77,85,40,86,0,0,72,25,46,62,39,68,,
AI Engineer,BTech,97,3.6,67,80,3,2,49,78,65,39,37,2,63,84,48,47,92,70,,
AI Engineer,MCA,82,1.3,85,85,2,6,61,85,50,49,47,0,74,56,43,54,100,63,,
AI Engineer,BE,91,3.0,87,80,2,3,51,76,49,62,60,1,63,70,66,77,91,58,,
AI Engineer,BE,64,0.8,58,87,1,5,59,86,54,56,37,2,93,72,54,51,70,61,,
AI Engineer,BTech,52,0.4,44,92,1,4,58,93,64,64,22,1,85,68,54,57,90,51,,
AI Engineer,BE,47,1.2,60,66,3,4,51,62,53,60,27,0,64,37,59,66,45,37,,
AI Engineer,BTech,53,1.4,88,83,2,4,72,96,70,52,39,3,80,52,65,83,78,73,,
AI Engineer,MTech,86,2.0,77,97,0,3,59,96,57,54,0,0,59,66,36,71,85,54,,
AI Engineer,BSc,55,2.3,71,80,2,3,72,90,66,72,0,2,75,66,44,71,79,43,,
AI Engineer,BBA,66,2.0,69,70,4,3,61,80,49,49,59,1,82,60,61,68,93,69,,
AI Engineer,MTech,45,2.0,83,62,3,3,55,79,59,58,72,0,82,48,61,68,63,59,,
AI Engineer,BTech,73,3.0,67,88,2,5,62,63,60,58,43,0,68,64,87,71,86,70,,
AI Engineer,BE,91,1.7,67,80,2,4,54,77,52,39,0,0,59,57,37,62,75,48,,
AI Engineer,BSc,39,2.0,66,100,1,6,97,82,41,51,36,5,88,41,62,73,53,75,,
AI Engineer,BTech,74,0.7,65,83,3,2,42,79,38,63,0,0,43,70,80,61,73,56,,
AI Engineer,BCA,73,3.0,89,66,2,3,84,81,60,71,26,0,61,58,53,56,67,58,,
AI Engineer,BCA,48,1.2,52,62,6,2,48,68,45,43,48,2,84,33,38,74,77,75,,
AI Engineer,MBA,55,1.0,52,93,2,2,67,81,53,55,0,0,40,41,68,49,96,50,,
AI Engineer,BTech,62,3.0,79,100,0,4,86,99,46,57,55,2,90,53,71,73,91,43,,
AI Engineer,BTech,94,1.6,72,75,3,4,57,80,51,42,35,4,71,70,72,66,63,53,,
AI Engineer,BTech,66,1.9,73,99,0,3,59,82,61,75,0,1,54,50,66,69,78,33,,
AI Engineer,BTech,62,2.0,77,97,0,4,86,92,54,62,51,4,88,50,73,74,88,23,,
AI Engineer,BTech,71,0.8,67,64,2,4,46,63,44,53,34,0,68,52,30,56,66,52,,
AI Engineer,MBA,67,1.6,47,99,2,3,66,78,60,58,0,0,53,64,53,51,89,52,,
AI Engineer,BE,83,2.8,68,75,2,4,44,69,60,47,0,3,71,77,60,33,72,77,,
AI Engineer,BE,61,2.2,60,77,3,4,61,85,56,52,46,0,85,50,56,74,69,49,,
AI Engineer,MBA,76,2.2,67,77,2,2,73,78,44,70,0,0,69,61,61,64,85,52,,
AI Engineer,MCA,71,2.8,81,87,2,4,86,83,58,60,0,2,67,71,73,51,81,77,,
AI Engineer,MSc,87,2.4,83,65,2,4,68,67,74,52,35,1,76,67,64,74,79,63,,
AI Engineer,BE,76,3.9,66,96,1,3,62,91,60,44,37,2,72,51,65,62,79,66,,
AI Engineer,BE,52,1.5,68,82,2,3,58,61,64,72,26,0,85,50,60,64,74,51,,
AI Engineer,BE,89,0.8,57,61,4,4,65,75,65,40,0,0,81,85,65,50,78,56,,
AI Engineer,BSc,58,3.9,90,89,0,4,91,86,56,62,35,2,75,45,56,70,85,31,,
AI Engineer,BE,28,2.0,67,88,1,3,67,76,42,54,39,0,78,52,76,75,87,80,,
AI Engineer,BE,74,2.0,59,86,3,3,63,46,61,58,38,0,63,49,79,73,77,57,,
AI Engineer,MTech,43,1.1,82,86,2,2,59,60,64,73,7,0,57,54,61,57,83,48,,
AI Engineer,BE,38,5.3,73,100,2,5,71,75,93,40,65,3,73,65,45,73,90,63,,
AI Engineer,MTech,59,1.2,71,75,1,3,51,78,48,68,55,1,72,57,32,71,80,55,,
AI Engineer,BTech,82,0.7,65,97,0,3,57,74,64,70,0,0,59,63,70,69,67,35,,
AI Engineer,MTech,49,1.7,71,67,2,2,61,69,52,62,46,0,70,63,60,62,77,69,,
AI Engineer,BTech,73,3.3,63,93,1,2,50,72,63,40,25,0,53,49,49,76,89,60,,
AI Engineer,BSc,63,3.5,66,98,2,4,87,90,33,56,37,1,75,57,56,72,56,71,,
AI Engineer,MBA,81,1.5,74,82,3,1,57,79,57,38,0,1,59,40,82,45,60,33,,
AI Engineer,BBA,49,1.6,60,78,1,2,54,79,41,71,52,1,60,37,42,64,70,44,,
AI Engineer,BSc,38,2.0,72,80,3,3,79,75,52,61,0,1,77,29,44,65,58,47,,
AI Engineer,BE,74,3.3,68,100,1,3,71,57,70,32,0,0,89,74,61,68,82,57,,
AI Engineer,MSc,81,1.2,76,56,4,3,60,80,48,52,0,2,84,51,61,76,88,56,,
AI Engineer,BE,51,2.8,82,94,1,4,82,48,66,44,51,0,94,50,70,81,79,80,,
AI Engineer,BE,62,1.5,80,67,4,5,64,66,50,74,0,3,89,60,72,71,80,89,,
AI Engineer,BTech,80,1.6,68,82,2,3,60,89,59,47,0,1,78,63,44,52,56,53,,
AI Engineer,BE,62,1.9,55,77,4,4,51,85,59,46,67,0,89,54,59,64,84,42,,
AI Engineer,MTech,32,2.0,67,82,0,4,78,75,42,42,71,3,79,38,46,75,91,76,,
AI Engineer,MTech,50,1.5,65,79,0,5,75,81,57,50,0,4,76,44,26,65,91,59,,
AI Engineer,BE,58,0.8,38,96,2,3,69,87,66,58,28,2,85,75,40,48,86,51,,
AI Engineer,BTech,55,2.9,68,80,2,3,76,82,81,44,44,0,76,77,69,76,81,65,,
AI Engineer,MCA,81,1.4,81,75,3,3,63,74,41,79,0,2,100,45,68,68,78,74,,
AI Engineer,BE,83,3.2,72,77,4,4,61,81,58,54,54,0,69,44,79,67,91,68,,
AI Engineer,BTech,58,2.7,59,90,1,2,62,77,51,31,0,0,61,43,69,73,82,82,,
AI Engineer,BTech,70,3.2,81,79,4,4,58,86,49,74,69,2,90,75,62,73,67,54,,
AI Engineer,BTech,76,4.1,97,76,1,5,77,72,61,61,49,2,76,49,26,70,91,54,,
AI Engineer,BTech,75,1.3,76,79,3,4,57,70,40,56,0,3,72,59,68,62,66,55,,
AI Engineer,BTech,77,1.9,74,94,3,3,73,71,69,55,50,0,73,70,82,67,73,37,,
AI Engineer,MBA,51,1.5,69,76,2,1,57,69,52,46,19,0,52,40,67,70,90,44,,
AI Engineer,MBA,70,2.2,63,97,1,5,64,75,57,60,64,0,79,59,66,78,80,63,,
AI Engineer,BTech,60,3.0,55,83,2,3,43,75,63,30,0,2,67,36,65,62,91,86,,
AI Engineer,BTech,53,2.7,65,100,1,4,84,91,53,62,28,2,69,51,69,57,85,27,,
AI Engineer,MSc,70,1.1,62,94,1,2,55,59,45,55,6,1,53,72,70,62,78,72,,
AI Engineer,BSc,58,5.9,67,73,2,4,65,79,77,58,25,0,70,59,44,76,80,57,,
AI Engineer,BTech,55,2.8,80,76,0,2,77,73,44,59,0,2,67,70,54,64,72,61,,
AI Engineer,BTech,62,2.4,77,88,1,5,85,93,49,76,71,0,84,50,64,84,100,45,,
AI Engineer,MSc,42,1.8,56,70,2,4,67,73,50,53,48,0,66,49,24,76,84,48,,
AI Engineer,MSc,50,1.3,81,78,4,2,50,70,21,15,60,0,73,53,55,55,88,56,,
AI Engineer,BCA,89,2.6,83,93,2,5,62,79,61,82,33,0,75,41,68,70,91,49,,
AI Engineer,MTech,44,2.1,75,67,3,3,32,76,56,48,52,0,68,65,47,82,64,62,,
AI Engineer,MSc,90,1.5,67,80,1,2,54,72,40,50,0,2,63,61,54,59,88,75,,
AI Engineer,MSc,51,1.8,61,75,2,2,61,69,54,54,0,0,59,74,53,86,73,48,,
AI Engineer,MCA,76,1.8,62,72,2,3,65,70,41,89,0,2,88,52,60,70,73,58,,
AI Engineer,BCA,53,4.5,70,86,3,6,87,68,80,47,97,0,76,51,58,93,89,48,,
AI Engineer,BE,46,1.4,73,84,2,3,67,88,41,47,67,0,74,38,35,74,77,63,,
AI Engineer,MSc,77,2.7,93,95,0,4,46,84,47,49,10,0,92,58,35,63,78,25,,
AI Engineer,MBA,89,0.6,53,75,3,4,59,72,25,49,0,2,76,45,69,63,85,44,,
AI Engineer,MBA,71,4.9,75,77,2,4,74,84,60,60,74,2,80,46,56,68,83,67,,
AI Engineer,BTech,75,1.5,64,67,2,4,63,78,20,83,0,3,86,54,54,56,76,58,,
AI Engineer,BCA,87,1.8,84,81,3,3,41,77,42,69,0,0,50,71,80,65,82,59,,
AI Engineer,MBA,74,2.6,50,89,1,2,64,92,40,62,32,1,55,47,50,62,84,65,,
AI Engineer,BTech,80,2.3,91,80,4,4,62,82,49,66,67,1,84,87,75,61,68,54,,
AI Engineer,BE,58,2.5,73,88,1,4,50,62,63,66,60,0,70,56,55,88,85,47,,
AI Engineer,MSc,86,1.7,77,98,1,3,48,74,38,30,0,1,88,68,53,57,83,65,,
AI Engineer,MSc,72,4.0,64,83,1,3,54,82,41,63,47,2,68,49,52,67,86,55,,
AI Engineer,MCA,83,2.2,76,59,3,4,64,75,63,72,69,1,92,75,32,85,94,35,,
AI Engineer,MBA,69,2.1,78,41,4,3,72,71,41,89,0,0,84,46,37,64,53,53,,
AI Engineer,MTech,41,1.6,61,50,5,5,62,64,53,55,45,0,77,59,62,89,58,53,,
AI Engineer,MCA,82,1.6,71,99,0,2,49,73,51,85,25,0,60,53,62,66,70,55,,
AI Engineer,BTech,47,1.3,94,88,1,4,61,92,58,53,37,0,81,69,47,46,90,62,,
AI Engineer,BTech,45,0.8,58,44,5,3,60,75,45,43,19,2,67,36,54,55,41,34,,
AI Engineer,BSc,46,0.8,67,66,2,3,59,85,27,74,35,2,78,46,61,53,51,71,,
